Country,Data_Localization
ARGENTINA,0
AUSTRALIA,1
BELGIUM,0
BRAZIL,0
BRUNEI,1
BULGARIA,0
CANADA,2
CHILE,0
CHINA,7
COLOMBIA,0
DENMARK,0
EUROPEAN UNION,0
FINLAND,0
FRANCE,0
GERMANY,0
GREECE,0
INDIA,4
INDONESIA,2
ISRAEL,0
ITALY,0
JAPAN,1
KOREA,2
LUXEMBOURG,0
MALAYSIA,0
MEXICO,0
NETHERLANDS,0
NEW ZEALAND,0
NIGERIA,0
PAKISTAN,0
PERU,0
PHILIPPINES,0
POLAND,0
PORTUGAL,0
ROMANIA,0
RUSSIA,4
SINGAPORE,0
SLOVENIA,0
SOUTH AFRICA,0
SPAIN,0
SWEDEN,0
TAIWAN,0
THAILAND,0
TURKEY,1
UNITED KINGDOM,0
UNITED STATES,0
VIETNAM,3
