,probe_cc,total,confirmed_count,anomaly_count,strict_rate,loose_rate
0,AD,75,1.0,1.0,0.013333333333333334,0.02666666666666667
1,AE,6826,3.0,1.0,0.00043949604453559916,0.0005859947260474656
2,AF,1551,1.0,1.0,0.0006447453255963894,0.0012894906511927789
3,AG,48,1.0,1.0,0.020833333333333332,0.041666666666666664
4,AI,19,,,,
5,AL,2180,1.0,1.0,0.00045871559633027525,0.0009174311926605505
6,AM,2449,1.0,1.0,0.0004083299305839118,0.0008166598611678236
7,AO,3373,1.0,1.0,0.0002964719833975689,0.0005929439667951378
8,AP,22,,,,
9,AR,19421,1.0,1.0,5.149065444621801e-05,0.00010298130889243603
10,AS,2,,,,
11,AT,11276,1.0,1.0,8.86839304717985e-05,0.000177367860943597
12,AU,1179620,1.0,1.0,8.477306251165629e-07,1.6954612502331259e-06
13,AW,54,,,,
14,AX,5,,,,
15,AZ,8954,1.0,1.0,0.00011168192986374804,0.00022336385972749609
16,BA,1085,1.0,1.0,0.0009216589861751152,0.0018433179723502304
17,BB,102,1.0,1.0,0.00980392156862745,0.0196078431372549
18,BD,5073,1.0,1.0,0.00019712201852946975,0.0003942440370589395
19,BE,4709,5.0,1.0,0.0010617965597791463,0.0012741558717349756
20,BF,1871,1.0,1.0,0.0005344735435595938,0.0010689470871191875
21,BG,2394,1.0,1.0,0.0004177109440267335,0.000835421888053467
22,BH,421,1.0,1.0,0.0023752969121140144,0.004750593824228029
23,BI,1903,1.0,1.0,0.0005254860746190226,0.0010509721492380452
24,BJ,2289,1.0,1.0,0.00043687199650502403,0.0008737439930100481
25,BM,45,1.0,1.0,0.022222222222222223,0.044444444444444446
26,BN,473,1.0,1.0,0.0021141649048625794,0.004228329809725159
27,BO,7258,1.0,1.0,0.00013777900248002206,0.0002755580049600441
28,BQ,3,,,,
29,BR,109474,1.0,1.0,9.134589034839323e-06,1.8269178069678646e-05
30,BS,167,1.0,1.0,0.005988023952095809,0.011976047904191617
31,BT,117,,,,
32,BW,287,1.0,1.0,0.003484320557491289,0.006968641114982578
33,BY,14345,1.0,1.0,6.971070059254095e-05,0.0001394214011850819
34,BZ,304,,,,
35,CA,35278,1.0,1.0,2.8346278133681047e-05,5.6692556267362094e-05
36,CD,1001,1.0,1.0,0.000999000999000999,0.001998001998001998
37,CF,63,,,,
