country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
AD,0,2,106,0.0,0.018867924528301886
AE,1475,3077,44160,0.032321682918812315,0.09974800043826011
AF,0,49,3463,0.0,0.014149581287900665
AG,0,0,270,0.0,0.0
AI,0,0,7,0.0,0.0
AL,0,189,9188,0.0,0.020570309098824555
AM,0,579,42126,0.0,0.013744480843184732
AO,0,8,3993,0.0,0.0020035061357375405
AP,0,24,1845,0.0,0.013008130081300813
AR,0,4648,380231,0.0,0.01222414795216592
AS,0,0,20,0.0,0.0
AT,0,13735,746895,0.0,0.01838946572142001
AU,0,16962,569847,0.0,0.029765884526899326
AW,0,0,294,0.0,0.0
AX,0,2,103,0.0,0.019417475728155338
AZ,0,120,16543,0.0,0.007253823369400955
BA,0,17,2024,0.0,0.008399209486166008
BB,0,1,244,0.0,0.004098360655737705
BD,0,573,18614,0.0,0.03078328140109595
BE,161,4482,106951,0.0015030995593397565,0.04334715064605273
BF,0,16,2012,0.0,0.007952286282306162
BG,0,838,41066,0.0,0.02040617542492573
BH,0,74,1184,0.0,0.0625
BI,0,2865,39256,0.0,0.07298247401671082
BJ,0,0,1255,0.0,0.0
BM,0,0,9,0.0,0.0
BN,0,4,1110,0.0,0.0036036036036036037
BO,0,50206,89618,0.0,0.5602222767747551
BQ,0,0,9,0.0,0.0
BR,0,35130,2151004,0.0,0.016331908262374222
BS,0,9,1284,0.0,0.007009345794392523
BT,0,0,139,0.0,0.0
BW,0,4,345,0.0,0.011594202898550725
BY,0,12588,534041,0.0,0.0235712239322449
BZ,0,3,509,0.0,0.005893909626719057
CA,0,195081,2251798,0.0,0.08663343692462645
CD,0,19,1359,0.0,0.013980868285504048
CF,0,0,82,0.0,0.0
CG,0,6,601,0.0,0.009983361064891847
CH,0,21571,766470,0.0,0.02814330632640547
CI,0,21,4427,0.0,0.0047436187034108875
CL,0,74934,333610,0.0,0.22461556907766553
CM,0,584,52855,0.0,0.01104909658499669
CN,0,7365,79810,0.0,0.092281668963789
CO,0,1981,39641,0.0,0.04997351227264701
CR,0,69,3884,0.0,0.01776519052523172
CU,0,18,8552,0.0,0.002104770813844715
CV,0,0,645,0.0,0.0
CW,0,143,3356,0.0,0.04261025029797378
CY,0,2278,211624,0.0,0.010764374551090614
CZ,0,7758,117664,0.0,0.06593350557519717
DE,0,173552,4734065,0.0,0.03666024864466373
DJ,0,7,7458,0.0,0.0009385894341646554
DK,13,9694,234028,5.5545823167735565e-05,0.04147563888378532
DM,0,4,129,0.0,0.031007751937984496
DO,0,3425,79097,0.0,0.04330126300618228
DZ,0,14787,104312,0.0,0.14175742004754965
EC,0,1115,75593,0.0,0.01475004299339886
EE,0,595,30382,0.0,0.019583964189322626
EG,0,174753,757892,0.0,0.23057770764172203
ER,0,0,1,0.0,0.0
ES,0,14912,691410,0.0,0.021567521441691617
ET,0,3157,73185,0.0,0.043137254901960784
EU,0,505,20803,0.0,0.02427534490217757
FI,0,6820,541216,0.0,0.012601253473659315
FJ,0,161,1374,0.0,0.11717612809315867
FM,0,0,28,0.0,0.0
FO,0,0,65,0.0,0.0
FR,0,148529,1829430,0.0,0.08118867625435244
GA,0,2,1886,0.0,0.0010604453870625664
GB,773,151377,2317150,0.000333488213370332,0.06564066192017595
GD,0,0,65,0.0,0.0
GE,0,53,4321,0.0,0.012265679240916455
GF,0,0,88,0.0,0.0
GG,0,0,11,0.0,0.0
GH,0,16,1579,0.0,0.01013299556681444
GI,0,6,163,0.0,0.03680981595092025
GL,0,0,1,0.0,0.0
GM,0,0,213,0.0,0.0
GN,0,4,1042,0.0,0.003838771593090211
GP,0,4,489,0.0,0.0081799591002045
GQ,0,0,161,0.0,0.0
GR,8265,22510,832407,0.009831420577823456,0.03660761866697119
GT,0,41,3289,0.0,0.012465795074490726
GU,0,3,404,0.0,0.007425742574257425
GW,0,2,594,0.0,0.003367003367003367
GY,0,0,641,0.0,0.0
HK,0,3931,241128,0.0,0.0163025447065459
HN,0,22,3124,0.0,0.007042253521126761
HR,0,762,56757,0.0,0.013425656747185368
HT,0,31,2043,0.0,0.015173764072442487
HU,0,319,18723,0.0,0.017037867863056135
ID,0,16727,238604,0.0,0.07010360262191749
IE,0,81949,4493085,0.0,0.01823891602317784
IL,0,333,15913,0.0,0.020926286683843397
IM,0,3,357,0.0,0.008403361344537815
IN,2355,272162,1720333,0.0013670496340602593,0.1593538702307092
IQ,0,2612,69229,0.0,0.03772985309624579
IR,176146,332084,785312,0.18320717077605053,0.5286034335353182
IS,0,110,1676,0.0,0.06563245823389022
IT,188,107732,1303037,0.00014425751501083848,0.08280995223388134
JE,0,115,7919,0.0,0.014522035610556889
JM,0,113,7849,0.0,0.014396738438017581
JO,0,3418,149236,0.0,0.022903320914524645
JP,0,1113,54615,0.0,0.02037901675363911
KE,0,7171,417735,0.0,0.017166385387865513
KG,0,659,31327,0.0,0.021036166884795864
KH,0,12829,291781,0.0,0.043967907437427386
KI,0,0,25,0.0,0.0
KM,0,0,309,0.0,0.0
KN,0,2,17,0.0,0.11764705882352941
KR,10461,88215,1186620,0.00873875702646688,0.08243051222097753
KW,0,3122,15741,0.0,0.19833555682612286
KY,0,0,41,0.0,0.0
KZ,0,1735,33143,0.0,0.05234891228917117
LA,0,0,774,0.0,0.0
LB,0,11168,58130,0.0,0.19212110786168932
LC,0,1,92,0.0,0.010869565217391304
LI,0,0,155,0.0,0.0
LK,0,1112,103438,0.0,0.010750401206519848
LR,0,202,1479,0.0,0.13657876943881
LS,0,1060,61947,0.0,0.017111401682083072
LT,0,70,4352,0.0,0.01608455882352941
LU,0,2052,197008,0.0,0.0104158206773329
LV,0,55,3196,0.0,0.0172090112640801
LY,0,78,9252,0.0,0.008430609597924773
MA,0,2625,153270,0.0,0.017126639264043845
MC,0,1,37,0.0,0.02702702702702703
MD,0,153,7108,0.0,0.02152504220596511
ME,0,0,360,0.0,0.0
MF,0,0,16,0.0,0.0
MG,0,0,920,0.0,0.0
MH,0,1,20,0.0,0.05
MK,0,77,4832,0.0,0.01593543046357616
ML,0,5757,415334,0.0,0.013861133449223998
MM,0,46,3752,0.0,0.012260127931769723
