,probe_cc,total,confirmed_count,anomaly_count
0,AD,75,1.0,1.0
1,AE,6826,3.0,1.0
2,AF,1551,1.0,1.0
3,AG,48,1.0,1.0
4,AI,19,,
5,AL,2180,1.0,1.0
6,AM,2449,1.0,1.0
7,AO,3373,1.0,1.0
8,AP,22,,
9,AR,19421,1.0,1.0
10,AS,2,,
11,AT,11276,1.0,1.0
12,AU,1179620,1.0,1.0
13,AW,54,,
14,AX,5,,
15,AZ,8954,1.0,1.0
16,BA,1085,1.0,1.0
17,BB,102,1.0,1.0
18,BD,5073,1.0,1.0
19,BE,4709,5.0,1.0
20,BF,1871,1.0,1.0
21,BG,2394,1.0,1.0
22,BH,421,1.0,1.0
23,BI,1903,1.0,1.0
24,BJ,2289,1.0,1.0
25,BM,45,1.0,1.0
26,BN,473,1.0,1.0
27,BO,7258,1.0,1.0
28,BQ,3,,
29,BR,109474,1.0,1.0
30,BS,167,1.0,1.0
31,BT,117,,
32,BW,287,1.0,1.0
33,BY,14345,1.0,1.0
34,BZ,304,,
35,CA,35278,1.0,1.0
36,CD,1001,1.0,1.0
37,CF,63,,
38,CG,416,1.0,1.0
39,CH,12227,1.0,1.0
40,CI,1768,1.0,1.0
41,CK,2,,
42,CL,24595,1.0,1.0
43,CM,2333,1.0,1.0
44,CN,15955,1.0,1.0
45,CO,16594,1.0,1.0
46,CR,1914,1.0,1.0
47,CU,16942,1.0,1.0
48,CV,479,1.0,1.0
49,CW,400,1.0,1.0
50,CY,624,1.0,1.0
51,CZ,4751,1.0,1.0
52,DE,78931,1.0,1.0
53,DJ,584,1.0,1.0
54,DK,3637,1.0,1.0
55,DM,60,,
56,DO,4537,1.0,1.0
57,DZ,70957,1.0,1.0
58,EC,9408,1.0,1.0
59,EE,1662,1.0,1.0
60,EG,46522,1.0,1.0
61,ER,7,,
62,ES,24507,1.0,1.0
63,ET,3753,1.0,1.0
64,EU,440,1.0,1.0
65,FI,5860,1.0,1.0
66,FJ,632,1.0,1.0
67,FM,17,,
68,FO,4,,
69,FR,53023,1.0,1.0
70,GA,1577,,
71,GB,41519,2.0,1.0
72,GD,31,,
73,GE,3621,1.0,1.0
74,GF,65,,
75,GG,19,1.0,1.0
76,GH,541,1.0,1.0
77,GI,17,,
78,GL,46,1.0,1.0
79,GM,402,1.0,1.0
80,GN,1107,1.0,1.0
81,GP,322,,
82,GQ,316,,
83,GR,7474,2.0,1.0
84,GT,2218,1.0,1.0
85,GU,121,1.0,1.0
86,GW,362,,
87,GY,420,1.0,1.0
88,HK,6402,1.0,1.0
89,HN,2463,1.0,1.0
90,HR,40585,1.0,1.0
91,HT,2067,1.0,1.0
92,HU,2676,1.0,1.0
93,ID,34818,1.0,1.0
94,IE,9966,1.0,1.0
95,IL,3531,1.0,1.0
96,IM,123,1.0,1.0
97,IN,58215,2.0,1.0
98,IO,4,,
99,IQ,33515,1.0,1.0
100,IR,49192,4.0,1.0
101,IS,831,1.0,1.0
102,IT,26517,2.0,1.0
103,JE,16,,
104,JM,647,1.0,1.0
105,JO,6127,1.0,1.0
106,JP,7818,1.0,1.0
107,KE,5175,1.0,1.0
108,KG,2357,1.0,1.0
109,KH,6749,1.0,1.0
110,KI,29,,
111,KM,220,,
112,KN,27,1.0,1.0
113,KP,11,,
114,KR,7190,1.0,1.0
115,KW,1790,1.0,1.0
116,KY,28,1.0,1.0
117,KZ,13934,1.0,1.0
118,LA,1388,1.0,1.0
119,LB,6424,1.0,1.0
120,LC,33,1.0,1.0
121,LI,52,1.0,1.0
122,LK,1371,1.0,1.0
123,LR,373,,
124,LS,326,1.0,1.0
125,LT,1912,1.0,1.0
126,LU,1467,1.0,1.0
127,LV,1130,1.0,1.0
128,LY,8777,1.0,1.0
129,MA,73073,1.0,1.0
130,MC,45,,
131,MD,3849,1.0,1.0
132,ME,252,1.0,1.0
133,MF,6,,
134,MG,1084,1.0,1.0
135,MH,60,,
136,MK,524,1.0,1.0
137,ML,5101,1.0,1.0
138,MM,436,1.0,1.0
139,MN,402,1.0,1.0
140,MO,188,1.0,1.0
141,MQ,140,,
142,MR,2039,1.0,1.0
143,MS,8,1.0,1.0
144,MT,237,1.0,1.0
145,MU,1105,1.0,1.0
146,MV,621,1.0,1.0
147,MW,166,1.0,1.0
148,MX,37555,1.0,1.0
149,MY,24930,3.0,1.0
150,MZ,5205,1.0,1.0
151,NA,891,1.0,1.0
152,NC,146,1.0,1.0
153,NE,1763,,
154,NG,4311,1.0,1.0
155,NI,3003,1.0,1.0
156,NL,18363,1.0,1.0
157,NO,5825,1.0,1.0
158,NP,1251,1.0,1.0
159,NR,10,,
160,NZ,3411,1.0,1.0
161,OM,3150,1.0,1.0
162,PA,2872,1.0,1.0
163,PE,6357,1.0,1.0
164,PF,241,1.0,1.0
165,PG,148,1.0,1.0
166,PH,7646,1.0,1.0
167,PK,11066,1.0,1.0
168,PL,9450,1.0,1.0
169,PM,80,,
170,PR,1101,1.0,1.0
171,PS,1751,1.0,1.0
172,PT,7266,3.0,1.0
173,PW,23,,
174,PY,1910,1.0,1.0
175,QA,2350,2.0,1.0
176,RE,766,1.0,1.0
177,RO,8831,4.0,1.0
178,RS,1857,1.0,1.0
179,RU,275705,11.0,1.0
180,RW,309,1.0,1.0
181,SA,14439,3.0,1.0
182,SB,45,,
183,SC,282,1.0,1.0
184,SD,12487,1.0,1.0
185,SE,11103,1.0,1.0
186,SG,5719,1.0,1.0
187,SI,3307,1.0,1.0
188,SK,1529,1.0,1.0
189,SL,223,,
190,SN,6185,1.0,1.0
191,SO,1944,1.0,1.0
192,SR,259,1.0,1.0
193,SS,181,1.0,1.0
194,ST,180,,
195,SV,1975,1.0,1.0
196,SX,26,,
197,SY,9919,1.0,1.0
198,SZ,43,1.0,1.0
199,TC,25,,
200,TD,429,,
201,TG,1429,,
202,TH,8844,1.0,1.0
203,TJ,1448,1.0,1.0
204,TL,261,1.0,1.0
205,TM,7910,1.0,1.0
206,TN,18867,1.0,1.0
207,TO,6,,
208,TR,61931,1.0,1.0
209,TT,480,1.0,1.0
210,TV,2,,
211,TW,22247,1.0,1.0
212,TZ,629,1.0,1.0
213,UA,67090,1.0,1.0
214,UG,1628,1.0,1.0
215,US,585094,1.0,1.0
216,UY,1481,1.0,1.0
217,UZ,10683,1.0,1.0
218,VA,6,1.0,1.0
219,VC,36,,
220,VE,20761,1.0,1.0
221,VG,14,,
222,VI,24,1.0,1.0
223,VN,4279,1.0,1.0
224,VU,127,1.0,1.0
225,WF,12,,
226,WS,55,,
227,YE,13528,1.0,1.0
228,YT,17,,
229,ZA,14835,1.0,1.0
230,ZM,1554,1.0,1.0
231,ZW,3847,1.0,1.0
232,ZZ,247305,1.0,1.0
