,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
0,,0,8,1269,0.0,0.006304176516942475
1,UZ,0,23,2248,0.0,0.010231316725978648
2,CH,0,164606,2276335,0.0,0.0723118521658719
3,LA,0,947,51347,0.0,0.018443141760959743
4,PW,0,0,4,0.0,0.0
5,LB,0,6665,36584,0.0,0.18218346818281217
6,MF,0,4,73,0.0,0.0547945205479452
7,GU,0,2,68,0.0,0.029411764705882353
8,BF,0,12,294,0.0,0.04081632653061224
9,BA,0,57,2071,0.0,0.027522935779816515
10,SL,0,1,26,0.0,0.038461538461538464
11,MV,0,51,2416,0.0,0.021109271523178808
12,EG,0,177681,1195330,0.0,0.1486459806078656
13,CM,0,1030,68422,0.0,0.015053637718862355
14,AX,0,2,104,0.0,0.019230769230769232
15,UY,0,532,46224,0.0,0.011509172724125995
16,KI,0,0,2,0.0,0.0
17,MY,11938,305747,1244854,0.009498787388843978,0.24327573695567764
18,SY,0,248,6213,0.0,0.03991630452277483
19,GN,0,5,278,0.0,0.017985611510791366
20,BM,0,0,5,0.0,0.0
21,ML,0,1632,168765,0.0,0.009670251533197049
22,GL,0,10,165,0.0,0.06060606060606061
23,IN,491,104707,1102862,0.0004450071735881445,0.09489891267799154
24,HK,0,1214,50573,0.0,0.02400490380242422
25,TC,0,5,107,0.0,0.04672897196261682
26,MQ,0,48,1203,0.0,0.0399002493765586
27,MW,0,0,37,0.0,0.0
28,NZ,0,1820,74058,0.0,0.02457533284722785
29,BI,0,4156,231373,0.0,0.017962337870019406
30,MN,0,11,301,0.0,0.036544850498338874
31,JM,0,44,1310,0.0,0.03358778625954199
32,NE,0,15,464,0.0,0.032327586206896554
33,IT,670,99718,2417624,0.0002770548163291974,0.0412348539921118
34,SK,0,1764,97794,0.0,0.018037916436591202
35,IM,0,21,815,0.0,0.025766871165644172
36,LI,0,3,27,0.0,0.1111111111111111
37,NO,317,19508,1163217,0.0002724458417201388,0.01676616239834848
38,BH,0,352,3147,0.0,0.11185255799173817
39,AL,0,244,8772,0.0,0.02781577747378021
40,CA,0,59999,1541188,0.0,0.03893035762022544
41,KZ,0,9463,129308,0.0,0.07318186036440127
42,DM,0,2,25,0.0,0.08
43,PH,0,762,23985,0.0,0.031769856160100064
44,LR,0,75,888,0.0,0.08445945945945946
45,PE,0,743,32528,0.0,0.022841859321200197
46,SA,8869,13046,67814,0.11565796851975015,0.17012897252324505
47,ZM,0,820,47219,0.0,0.01736589084902264
48,YT,0,2,90,0.0,0.022222222222222223
49,FR,1396,152451,5632166,0.0002478005922363151,0.027061209231388595
50,AP,0,75,1874,0.0,0.040021344717182494
51,IQ,0,7110,167758,0.0,0.042382479524076346
52,OM,0,468,5278,0.0,0.08866995073891626
53,VU,0,0,10,0.0,0.0
54,KE,0,5123,314534,0.0,0.016287587351446902
55,IE,0,3136,130667,0.0,0.023999938775666387
56,PA,0,435,22954,0.0,0.018950945368998866
57,DZ,0,1683,48385,0.0,0.0347835072853157
58,GT,0,119,3214,0.0,0.03702551337896702
59,AE,3102,11933,115476,0.026159995952031573,0.10063418172004925
60,AT,0,16488,195944,0.0,0.08414649083411586
61,HN,0,25,1369,0.0,0.018261504747991233
62,TT,0,55,2249,0.0,0.024455313472654512
63,ZA,0,6426,230350,0.0,0.027896678966789667
64,LY,0,284,3378,0.0,0.08407341622261694
65,BJ,0,20,530,0.0,0.03773584905660377
66,GD,0,0,1,0.0,0.0
67,CY,3,25627,283726,1.0573469754589767e-05,0.09032210313362399
68,AR,0,4609,155128,0.0,0.02971094837811356
69,EU,0,488,8995,0.0,0.05425236242356865
70,ST,0,0,55,0.0,0.0
71,JE,0,14,308,0.0,0.045454545454545456
72,BR,0,102177,3083460,0.0,0.033137125177560275
73,TZ,0,367,22302,0.0,0.01645592323558425
74,BT,0,0,19,0.0,0.0
75,PK,0,88311,855898,0.0,0.10317935081049377
76,MD,0,237,5731,0.0,0.041354039434653635
77,SX,0,24,610,0.0,0.03934426229508197
78,VI,0,11,115,0.0,0.09565217391304348
79,GA,0,32,998,0.0,0.03206412825651302
80,CF,0,0,13,0.0,0.0
81,BD,0,618,12937,0.0,0.047769962124140065
82,GG,0,0,3,0.0,0.0
83,LT,0,274,6291,0.0,0.04355428389763154
84,NR,0,0,2,0.0,0.0
85,PM,0,1,49,0.0,0.02040816326530612
86,CL,0,26662,787749,0.0,0.033845806214923786
87,CR,0,766,18601,0.0,0.0411805816891565
88,KN,0,3,41,0.0,0.07317073170731707
89,AO,0,34,2420,0.0,0.014049586776859505
90,LC,0,1,15,0.0,0.06666666666666667
91,LU,0,4598,365222,0.0,0.01258960303596169
92,PF,0,37,1022,0.0,0.036203522504892366
93,FI,0,5068,468354,0.0,0.010820874808371446
94,DE,0,145966,2877825,0.0,0.050720943768297236
95,CO,0,1158,43944,0.0,0.026351720371381757
96,JP,0,2830,46915,0.0,0.06032185868059256
97,RW,0,57,1564,0.0,0.03644501278772379
98,GR,12850,24709,987515,0.01284531146131662,0.024699984505655435
99,UG,0,9516,507070,0.0,0.018766639714437847
100,ME,0,36,741,0.0,0.048582995951417005
101,TN,0,2333,61895,0.0,0.03769286695209629
102,SD,13,193,6431,0.0020173805090006208,0.02995034140285537
103,NP,0,122,2519,0.0,0.04843191742755062
104,MZ,0,5,1485,0.0,0.003367003367003367
105,MK,0,40,2104,0.0,0.019011406844106463
106,LV,0,173,4016,0.0,0.04307768924302789
107,TJ,0,6,576,0.0,0.010416666666666666
108,AD,0,2,147,0.0,0.013605442176870748
109,BB,0,2,44,0.0,0.045454545454545456
