,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
0,CH,0,0,2004,0.0,0.0
1,BA,0,0,2,0.0,0.0
2,EG,0,0,2010,0.0,0.0
3,IN,0,0,1664,0.0,0.0
4,NZ,0,0,4,0.0,0.0
5,IT,0,0,40075,0.0,0.0
6,SK,0,0,1,0.0,0.0
7,CA,0,0,25,0.0,0.0
8,FR,0,0,2019,0.0,0.0
9,KE,0,0,3,0.0,0.0
10,IE,0,0,4914,0.0,0.0
11,AE,0,0,4143,0.0,0.0
12,AT,0,0,110808,0.0,0.0
13,ZA,0,0,3,0.0,0.0
14,PK,0,0,7,0.0,0.0
15,LT,0,0,2461,0.0,0.0
16,CL,0,0,2000,0.0,0.0
17,LU,0,0,3832,0.0,0.0
18,DE,0,0,51982,0.0,0.0
19,JP,0,0,7915,0.0,0.0
20,GR,0,0,39373,0.0,0.0
21,UG,0,0,372,0.0,0.0
22,TN,0,0,1030,0.0,0.0
23,ES,0,0,15,0.0,0.0
24,NG,0,0,4,0.0,0.0
25,TH,0,0,238,0.0,0.0
26,CN,0,0,847,0.0,0.0
27,GB,33,33,353200,9.342275495211376e-05,9.342275495211376e-05
28,IS,0,0,2012,0.0,0.0
29,IL,0,0,6446,0.0,0.0
30,ZZ,0,0,112432,0.0,0.0
31,UA,0,0,11051,0.0,0.0
32,CZ,0,0,4014,0.0,0.0
33,TR,43,43,50651,0.0008482266145894978,0.0008482266145894978
34,MM,0,0,3,0.0,0.0
35,VE,0,0,4039,0.0,0.0
36,AU,0,0,4609,0.0,0.0
37,BE,0,0,48028,0.0,0.0
38,NL,0,0,9578,0.0,0.0
39,RU,0,0,4,0.0,0.0
40,SG,0,0,1518,0.0,0.0
41,US,0,0,1185103,0.0,0.0
42,IR,0,0,8972,0.0,0.0
43,PT,0,0,2,0.0,0.0
44,PS,0,0,1,0.0,0.0
45,ID,3,3,2492,0.0012024048096192384,0.0012024048096192384
