,Country Code,Country Name,people-online
0,ABW,Aruba,10228502.88
1,AFG,Afghanistan,406737285.10043526
2,AGO,Angola,427077907.1005565
3,ALB,Albania,206449381.45400852
4,AND,Andorra,7609640.0347968
5,ARB,Arab World,20246942430.19101
6,ARE,United Arab Emirates,891321020.7647682
7,ARG,Argentina,3356176295.0058436
8,ARM,Armenia,204305479.08390048
9,ASM,American Samoa,0.0
10,ATG,Antigua and Barbuda,7752912.0
11,AUS,Australia,2129161098.4642043
12,AUT,Austria,773619126.7742399
13,AZE,Azerbaijan,778468607.0
14,BDI,Burundi,60781873.917890154
15,BEL,Belgium,998004585.2078023
16,BEN,Benin,157789733.14428237
17,BFA,Burkina Faso,304718103.9346696
18,BGD,Bangladesh,2967348913.02
19,BGR,Bulgaria,448686516.6295069
20,BHR,Bahrain,143106171.370278
21,BHS,"Bahamas, The",33605685.0
22,BIH,Bosnia and Herzegovina,243706652.88653117
23,BLR,Belarus,707017009.7257683
24,BLZ,Belize,17640965.3173698
25,BMU,Bermuda,6437431.17
26,BOL,Bolivia,484416782.215212
27,BRA,Brazil,14120680116.66
28,BRB,Barbados,23360607.84081241
29,BRN,Brunei Darussalam,40669066.10599308
30,BTN,Bhutan,38851222.5288468
31,BWA,Botswana,94906378.03849703
32,CAF,Central African Republic,20216935.929150604
33,CAN,Canada,3402889654.2861485
34,CEB,Central Europe and the Baltics,7544448369.253562
35,CHE,Switzerland,791961917.4393893
36,CHI,Channel Islands,
37,CHL,Chile,1486400218.7897313
38,CHN,China,75281248500.0
39,CIV,Cote d'Ivoire,1065079917.0705374
40,CMR,Cameroon,558117953.3550322
41,COD,"Congo, Dem. Rep.",701142962.428581
42,COG,"Congo, Rep.",45505487.5
43,COL,Colombia,3054819317.7271967
44,COM,Comoros,6900484.54114404
45,CPV,Cabo Verde,31232710.8198838
46,CRI,Costa Rica,351163111.2611928
47,CSS,Caribbean small states,418106635.16054296
48,CUB,Cuba,563949459.5343227
49,CUW,Curacao,9907706.4327795
50,CYM,Cayman Islands,4990446.1287767505
51,CYP,Cyprus,95240709.29275247
52,CZE,Czech Republic,833985396.1706084
53,DEU,Germany,6978311776.246587
54,DJI,Djibouti,53286273.431111254
55,DMA,Dominica,5146634.015300751
56,DNK,Denmark,559775880.8651568
57,DOM,Dominican Republic,699781713.3090792
58,DZA,Algeria,1970505788.817531
59,EAP,East Asia & Pacific (excluding high income),105044422570.76875
60,EAR,Early-demographic dividend,121655778380.98045
61,EAS,East Asia & Pacific,127511008842.00279
62,ECA,Europe & Central Asia (excluding high income),27584978580.703533
63,ECS,Europe & Central Asia,68580595860.84108
64,ECU,Ecuador,952142918.5213975
65,EGY,"Egypt, Arab Rep.",4385034062.681091
66,EMU,Euro area,27101284028.667076
67,ERI,Eritrea,5856952.974336199
68,ESP,Spain,3941886900.884115
69,EST,Estonia,116064767.04122807
70,ETH,Ethiopia,1954102980.744185
71,EUU,European Union,41323714832.10956
72,FCS,Fragile and conflict affected situations,11483693752.881535
73,FIN,Finland,481797579.668381
74,FJI,Fiji,45244650.693301015
75,FRA,France,5401993796.5
76,FRO,Faroe Islands,4809814.7561526
77,FSM,"Micronesia, Fed. Sts.",3726130.95611128
78,GAB,Gabon,101905137.16021055
79,GBR,United Kingdom,6247123699.8
80,GEO,Georgia,225511650.1114302
81,GHA,Ghana,1092337601.624458
82,GIB,Gibraltar,3265039.8269921797
83,GIN,Guinea,144976070.5357455
84,GMB,"Gambia, The",41667821.43012192
85,GNB,Guinea-Bissau,7315789.865962015
86,GNQ,Equatorial Guinea,33264159.30929244
87,GRC,Greece,751564281.59
88,GRD,Grenada,6369409.865192
89,GRL,Greenland,3902899.3606443796
90,GTM,Guatemala,688431142.7237272
91,GUM,Guam,13221332.103453241
92,GUY,Guyana,29034238.079632606
93,HIC,High income,102611849488.80826
94,HKG,"Hong Kong SAR, China",660935838.069405
95,HND,Honduras,297745562.26096386
96,HPC,Heavily indebted poor countries (HIPC),14127607789.379633
97,HRV,Croatia,276740324.05093324
98,HTI,Haiti,135355766.0896998
99,HUN,Hungary,751231745.6919578
100,IBD,IBRD only,235991500153.49362
101,IBT,IDA & IBRD total,269849390202.32028
102,IDA,IDA total,33673120379.627327
103,IDB,IDA blend,12513485771.185736
104,IDN,Indonesia,8524926268.45838
105,IDX,IDA only,21157050408.984978
106,IMN,Isle of Man,
107,IND,India,46134755375.15
108,INX,Not classified,
109,IRL,Ireland,406630664.1386802
110,IRN,"Iran, Islamic Rep.",4903559905.934946
111,IRQ,Iraq,1889235101.995174
112,ISL,Iceland,33742484.0
113,ISR,Israel,710841326.974747
114,ITA,Italy,3710969440.6295767
115,JAM,Jamaica,140991587.45158947
116,JOR,Jordan,648023207.5808537
117,JPN,Japan,11521411074.802343
118,KAZ,Kazakhstan,1378568564.9811366
119,KEN,Kenya,886004420.2971711
120,KGZ,Kyrgyz Republic,236765275.84403202
121,KHM,Cambodia,544182668.0753255
122,KIR,Kiribati,1697294.47251564
123,KNA,St. Kitts and Nevis,4466905.51037945
124,KOR,"Korea, Rep.",4894288993.710203
125,KWT,Kuwait,405379699.86324626
126,LAC,Latin America & Caribbean (excluding high income),34251365924.704124
127,LAO,Lao PDR,174954645.4482528
128,LBN,Lebanon,475523383.4176157
129,LBR,Liberia,37781807.50341014
130,LBY,Libya,138704763.52698192
131,LCA,St. Lucia,9088001.63743432
132,LCN,Latin America & Caribbean,40028444092.48713
133,LDC,Least developed countries: UN classification,17826310312.818592
134,LIC,Low income,11715711928.790308
135,LIE,Liechtenstein,3720148.1999999997
136,LKA,Sri Lanka,731526632.3676
137,LMC,Lower middle income,100135766333.59317
